,Population,Male,Female,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 and over,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100 and over
Ardebil,1270420,650255,620165,56614,52592,46553,44954,56695,68838,65259,56476,45776,42259,30920,25159,17283,13085,10194,7578,5911,3167,864,65,13,52000,48550,43928,42837,52023,62665,63053,54959,44116,38425,30645,26077,20244,14445,10437,7166,5080,2652,732,96,35
Bushehr,1163400,620722,542678,59952,52958,42910,39459,53318,75998,79454,60884,42435,32748,22410,19777,15222,8309,4596,4893,3110,1818,398,52,21,57288,50770,41437,34862,44365,61668,62879,47736,34318,27661,20739,17788,15353,11078,5445,4590,2618,1544,423,89,27
Chaharmahal & Bakhtiyari ,947763,482356,465407,48365,41620,36531,33444,40216,51671,51026,39890,32724,27057,21667,17714,13474,9056,5364,5269,4140,2332,702,75,19,45050,39866,35050,33267,39547,48776,48472,38082,31329,25874,20855,17296,14120,10600,6251,5005,3379,1916,551,93,28
East Azarbayejan,3909652,1989400,1920252,166096,156081,138270,135230,148894,189819,199811,179143,148364,128764,103574,87340,67249,44740,34874,27921,20002,9629,3270,276,53,154760,147170,131617,124167,139899,179808,196308,175472,143775,124306,101132,90258,69269,48694,35918,27283,17994,8949,3029,370,74
Esfahan,5120850,2599477,2521373,206495,189107,170461,164533,185596,258335,289813,235188,191287,173085,144331,118081,93353,60991,43292,33849,25223,11232,4513,618,94,195409,179662,162412,159761,182700,256929,284750,229467,181751,162949,137410,116340,90387,63045,45513,31905,23254,12264,4500,778,187
Fars,4851274,2461251,2390023,206769,193313,170319,163223,196510,266350,279786,218763,166187,147925,119947,106253,79681,50236,29716,27890,21330,12527,3947,467,112,195245,184830,162488,154447,185995,257233,273436,215881,162888,144060,117357,103313,82400,57204,32963,26172,18233,11267,3778,617,216
Gilan,2530696,1267597,1263099,74517,76823,78235,81989,94788,116181,125916,110453,95606,96514,83385,69752,53729,38058,26055,20497,15878,6943,2089,163,26,71635,73764,74804,80113,91851,112061,124204,112264,97546,96886,83619,72477,56927,40685,27758,20996,15357,7402,2411,293,46
Golestan,1868819,938327,930492,98246,84895,72245,65087,77647,97414,94444,78285,65875,52268,44781,37173,25519,16325,11077,7643,6044,2446,786,101,26,93886,82283,69556,63421,75192,93345,95118,80019,66663,52245,45551,37486,27476,19751,12409,7542,5315,2286,772,132,44
Hamedan,1738234,880318,857916,76092,67151,59490,57124,71031,91122,91462,75723,63966,54061,46225,37598,29530,17929,13867,12800,9585,3723,1512,274,53,70794,62825,56472,55269,68460,87339,89085,72851,61823,53454,42717,38351,31668,23174,16466,12938,8172,4198,1510,290,60
Hormozgan,1776415,906814,869601,105999,89716,74694,71021,82457,99821,100217,76776,54765,41224,30162,27341,18794,11408,5628,5378,6128,3799,1098,251,137,100880,85800,71571,66895,80242,97786,95598,70876,49348,38410,30804,26618,19023,13947,6842,5478,4922,2874,1186,313,188
Ilam,580158,295199,284959,25315,22965,20945,19467,26813,34731,33190,25568,20703,17847,11477,10962,8481,5776,3096,3151,2477,1736,405,64,30,23719,21785,19847,17858,25077,33871,32849,25509,20114,17739,11905,10542,8335,6928,3388,2439,1727,969,248,71,39
Kerman,3164718,1617688,1547030,161136,148687,128165,124679,143746,170748,169927,138173,101886,84377,66052,56574,42535,26538,17640,15069,12241,6186,2710,475,144,154318,141765,122793,118129,135463,161958,160246,128075,96108,80943,66328,57236,43478,29082,18673,14389,10232,5123,2067,489,135
Kermanshah,1952434,988015,964419,79740,73649,67684,67840,86825,107584,105134,80527,67969,62604,49639,43488,32966,21188,12963,11667,9451,5078,1684,267,68,72831,68204,63593,61742,81015,104032,104624,81305,67681,63165,51251,44607,34939,26713,15299,10465,7819,3694,1192,182,66
Razavi Khorasan,6434501,3245185,3189316,343374,289308,254185,231459,253805,326558,340014,278344,212654,178323,144556,126013,90004,53141,46510,33435,27024,11042,4757,572,107,324078,275596,242021,230671,253239,321129,332224,271616,208094,177616,144315,129788,95774,61770,49944,33001,23989,9823,3868,606,154
Khuzestan,4710509,2388674,2321835,249791,222640,189516,175700,211447,255302,253679,199340,152464,130121,99641,84921,61712,36502,22077,19527,14520,7352,2046,282,94,234370,211585,180020,169341,209752,254806,250209,193900,147704,124630,96096,81335,62171,41974,24621,17707,12023,6431,2318,521,321
Kohgiluyeh & Boyerahmad ,713052,361386,351666,38085,33832,28376,25728,32051,41719,37556,29148,23795,19015,13009,12647,9266,4850,3343,3943,3089,1591,261,55,27,35624,32245,27085,25403,32398,40354,37366,29256,23160,18851,13602,11845,8790,5804,3298,2528,2435,1181,314,80,47
Kordestan,1603011,812776,790235,72968,64966,57991,53288,71704,90338,85288,71053,57047,48740,34857,30464,26166,15661,10673,8928,6601,3275,1389,516,863,69039,62465,55660,52509,69564,87855,82510,65360,55119,47875,35924,31282,25801,18802,11404,8467,6149,2885,957,335,273
Lorestan,1760649,892889,867760,84792,73612,65438,62062,80497,96065,91140,76468,62137,51218,37813,35920,24322,14743,10734,11254,8766,4311,1329,210,58,77527,69193,62423,59209,74516,91684,89700,76598,61783,51669,38311,35403,28036,19866,11774,9681,6167,2985,955,206,74
Markazi,1429475,725751,703724,58244,53084,48689,47140,56570,73092,77273,64785,54726,46613,39737,31425,22770,14511,11897,10713,8636,3879,1615,307,45,54535,50517,46828,45323,54032,70218,74035,62380,51555,44712,36653,31614,24841,17853,14208,11105,7892,3679,1403,287,54
Mazandaran,3283582,1653998,1629584,111520,109500,104945,105016,118369,164116,185374,147596,123860,116688,99814,82501,60893,44054,28821,22391,17400,7830,2912,339,59,106070,106744,101892,101270,116713,158874,179300,143201,122740,115758,100789,86131,65668,47798,29853,21538,15592,6804,2430,351,68
North Khorasan,863092,433633,429459,45023,40914,35069,33781,37975,42857,41530,33985,27075,23290,18796,17837,12456,7068,6330,4430,3409,1398,367,34,9,42221,39113,33568,33183,36401,41695,41781,34667,27812,23499,19464,18193,13672,9154,6491,4278,2768,1121,316,46,16
Qazvin,1273761,650499,623262,56197,50540,46364,40654,50227,68810,73305,60709,50775,40029,31945,25321,17921,12024,9704,6824,5732,2362,894,147,15,52849,47644,43465,39777,50260,66114,69097,55407,46176,38233,30606,25578,18973,13841,10259,6796,4930,2331,736,146,44
Qom,1292283,658540,633743,66282,57012,48394,46009,52360,69440,71998,58415,46134,37663,30163,24671,18416,10369,7539,6117,4504,2052,830,132,40,63323,53945,46276,45483,53837,68114,69106,54723,42383,35471,28251,23376,17362,11561,7811,5701,3934,2091,780,162,53
Semnan,702360,356656,345704,27643,25248,23481,25898,34503,38604,38307,30032,23675,21266,17806,15618,11472,7575,5859,4268,3250,1468,554,118,11,26601,24726,22710,23506,33265,37621,37085,28916,22203,21013,17438,15117,11445,8367,6085,4376,3123,1475,530,93,9
Sistan and Baluchestan,2775014,1401931,1373083,215188,181631,148271,134731,132510,131005,117172,92328,64658,50155,34250,30101,23595,15699,10794,6970,6735,3683,1528,610,317,203521,172694,142484,129884,128639,131301,121725,94889,63750,50271,37207,31068,22788,16723,9903,6197,5110,2785,1173,528,443
South Khorasan,768898,389917,378981,43452,36077,31649,34558,34514,37468,35861,28835,22156,19487,14865,13871,10427,6983,6649,5121,4667,2213,928,104,32,41521,34394,30415,29802,30638,35684,35090,28529,22876,20451,16221,15459,11663,7681,6818,4881,4135,1864,728,106,25
Tehran,13267637,6673672,6593965,497120,458616,421075,417982,474770,656933,764188,646446,500904,453314,379532,312653,241326,163162,115537,80639,55354,23929,8654,1337,201,469853,434746,401141,402908,485620,679824,778351,633394,475615,439231,378511,319365,241876,167941,116852,79679,51544,25998,9468,1738,310
West Azarbaijan.,3265219,1658319,1606900,158366,143847,129380,123645,144638,169054,160087,140576,108550,101193,79698,64276,46038,30232,20406,16283,12577,6159,2453,433,428,148241,135944,121978,117668,139190,162108,155835,136423,105443,96504,77920,65071,49334,34300,23142,16923,12206,5838,2214,418,200
Yazd,1138533,586013,552520,60586,52443,43297,40996,44672,57166,65175,51301,38275,32404,26957,22954,17225,10215,7930,5981,4971,2362,964,117,22,58201,50814,41809,37920,41784,55559,61305,46479,33985,29653,24309,20439,15937,10761,8391,6284,5078,2558,1033,183,38
Zanjan,1057461,534849,522612,49799,42901,37113,34942,44509,57150,55468,47947,39225,31077,24285,21142,15565,9598,8253,7009,5434,2391,940,90,11,46856,40955,35300,34066,43324,55080,53412,45789,37812,30756,23644,21458,17272,12787,9311,6855,4632,2244,908,104,47
